Algo,Time,Size
Dijkstra,4965,2
Dijkstra,2519,3
Dijkstra,1460,2
Dijkstra,1737,3
Dijkstra,1339,2
Dijkstra,1666,3
Dijkstra,1687,3
Dijkstra,1710,3
Dijkstra,1396,2
Dijkstra,1264,2
Dijkstra,1309,2
Dijkstra,1688,3
Dijkstra,1316,2
Dijkstra,1751,3
Dijkstra,1674,3
Dijkstra,1387,2
Dijkstra,1311,2
Dijkstra,1319,2
Dijkstra,1341,2
Dijkstra,1722,3
Dijkstra,1705,3
Dijkstra,1732,3
Dijkstra,1642,3
Dijkstra,1721,3
Dijkstra,1798,3
Dijkstra,1660,3
Dijkstra,1773,3
Dijkstra,1807,3
Dijkstra,2356,4
Dijkstra,2223,4
Dijkstra,1772,3
Dijkstra,1753,3
Dijkstra,1796,3
Dijkstra,1711,3
Dijkstra,1719,3
Dijkstra,1683,3
Dijkstra,2275,4
Dijkstra,2079,4
Dijkstra,2126,4
Dijkstra,2042,4
Dijkstra,1785,3
Dijkstra,1709,3
Dijkstra,2278,4
Dijkstra,2108,4
Dijkstra,1784,3
Dijkstra,2819,4
Dijkstra,2411,4
Dijkstra,2189,4
Dijkstra,1681,3
Dijkstra,3252,6
Dijkstra,3213,6
Dijkstra,3116,6
Dijkstra,3045,6
Dijkstra,2166,4
Dijkstra,2664,5
Dijkstra,4315,7
Dijkstra,2220,4
Dijkstra,3183,6
Dijkstra,2140,4
Dijkstra,3188,6
Dijkstra,3051,6
Dijkstra,17780,7
Dijkstra,2837,5
Dijkstra,2424,5
Dijkstra,3876,7
Dijkstra,2541,5
Dijkstra,3270,6
Dijkstra,2570,5
Dijkstra,2857,5
Dijkstra,2492,5
Dijkstra,3111,6
Dijkstra,3187,6
Dijkstra,2544,5
Dijkstra,3061,6
Dijkstra,3134,6
Dijkstra,3441,6
Dijkstra,2522,5
Dijkstra,4429,8
Dijkstra,3823,7
Dijkstra,3809,7
Dijkstra,4751,8
Dijkstra,6583,9
Dijkstra,4498,8
Dijkstra,3895,7
Dijkstra,3777,7
Dijkstra,5200,9
Dijkstra,5121,9
Dijkstra,3815,7
Dijkstra,4241,8
Dijkstra,5766,9
Dijkstra,3655,7
Dijkstra,4436,8
Dijkstra,3780,7
Dijkstra,4449,8
Dijkstra,5477,9
Dijkstra,6312,9
Dijkstra,4181,8
Dijkstra,3940,7
Dijkstra,4426,8
Dijkstra,4907,9
Dijkstra,3234,8
Dijkstra,4076,9
Dijkstra,3991,9
Dijkstra,3528,8
Dijkstra,3475,8
Dijkstra,8059,14
Dijkstra,5109,11
Dijkstra,5312,11
Dijkstra,6842,13
Dijkstra,5773,12
Dijkstra,7617,14
Dijkstra,16470,12
Dijkstra,5165,10
Dijkstra,8377,15
Dijkstra,6745,13
Dijkstra,11011,12
Dijkstra,2595,11
Dijkstra,3172,14
Dijkstra,3322,15
Dijkstra,2190,11
Dijkstra,4497,15
Dijkstra,2831,14
Dijkstra,2765,13
Dijkstra,2445,12
Dijkstra,1892,10
Dijkstra,2616,12
Dijkstra,2241,11
Dijkstra,1851,10
Dijkstra,3445,15
Dijkstra,3628,16
Dijkstra,5029,19
Dijkstra,5075,19
Dijkstra,4029,17
Dijkstra,3390,15
Dijkstra,5072,19
Dijkstra,5151,20
Dijkstra,5673,21
Dijkstra,4909,19
Dijkstra,4272,18
Dijkstra,4420,19
Dijkstra,5431,17
Dijkstra,5197,20
Dijkstra,5433,20
Dijkstra,5982,22
Dijkstra,5955,21
Dijkstra,5147,20
Dijkstra,5655,21
Dijkstra,3929,16
Dijkstra,3929,16
Dijkstra,5061,20
Dijkstra,3897,17
Dijkstra,4790,19
Dijkstra,4096,17
Dijkstra,4072,17
Dijkstra,4271,18
Dijkstra,7921,26
Dijkstra,6979,24
Dijkstra,7507,23
Dijkstra,6685,23
Dijkstra,5711,22
Dijkstra,6720,24
Dijkstra,8773,27
Dijkstra,6283,22
Dijkstra,6807,23
Dijkstra,6981,24
Dijkstra,7176,24
Dijkstra,7175,24
Dijkstra,6733,23
Dijkstra,7904,24
Dijkstra,6387,23
Dijkstra,7229,25
Dijkstra,6643,23
Dijkstra,7346,24
Dijkstra,7098,24
Dijkstra,8133,26
Dijkstra,8377,27
Dijkstra,11134,29
Dijkstra,9280,29
Dijkstra,8467,27
Dijkstra,8704,27
Dijkstra,8599,27
Dijkstra,9677,29
Dijkstra,8927,28
Dijkstra,10544,30
Dijkstra,9238,28
Dijkstra,9297,29
Dijkstra,8021,27
Dijkstra,17852,28
Dijkstra,8758,28
Dijkstra,8922,28
Dijkstra,8844,28
Dijkstra,8825,28
Dijkstra,9983,30
Dijkstra,11763,29
Dijkstra,10155,30
Dijkstra,11766,30
Dijkstra,10546,30
Dijkstra,10683,31
Dijkstra,10151,31
Dijkstra,10464,30
Dijkstra,8801,27
Dijkstra,12399,34
Dijkstra,12336,33
Dijkstra,13488,36
Dijkstra,15641,37
Dijkstra,14922,36
Dijkstra,13682,35
Dijkstra,11270,33
Dijkstra,12401,35
Dijkstra,10683,32
Dijkstra,11281,33
Dijkstra,14313,38
Dijkstra,13059,35
Dijkstra,12004,34
Dijkstra,13456,34
Dijkstra,12288,35
Dijkstra,13685,37
Dijkstra,11097,32
Dijkstra,10440,31
Dijkstra,13308,35
Dijkstra,13015,34
Dijkstra,18315,38
Dijkstra,12974,36
Dijkstra,13007,35
Dijkstra,11038,33
Dijkstra,13771,37
Dijkstra,11095,32
Dijkstra,11650,34
Dijkstra,12742,35
Dijkstra,11131,33
